legacy_codigo,cnpj,nome,cidade,estado,telefone,fonte,metodo
021342,87613576000102,PREFEITURA MUNICIPAL DE MACHADINHO.,MACHADINHO,RS,054 35511242,BdGeral.Mdb:Geral,colunas_nomeadas
021343,04224688000144,JOSÉ CARLOS ALBINO MARTINS M.E.,SAO PAULO,SP,011 55601766,BdGeral.Mdb:Geral,colunas_nomeadas
021344,82237447000143,GEROTTI E GEROTTI LTDA M.E.,MARINGA,PR,044 32621133,BdGeral.Mdb:Geral,colunas_nomeadas
021345,72689995000150,JARDIM MARASA MATERIAIS P/ CONSTRUÇÃO LTDA M.E.,DIADEMA,SP,011 40591239,BdGeral.Mdb:Geral,colunas_nomeadas
021346,04429233000165,FAM MATERIAIS PARA CONSTRUÇÃO LTDA.,SAO PAULO,SP,011 55601783,BdGeral.Mdb:Geral,colunas_nomeadas
021348,67545517000137,JOSÉ ARRUDA RAMALHO CONSTRUÇÃO M.E.,PERUIBE,SP,013 34562450,BdGeral.Mdb:Geral,colunas_nomeadas
021350,03924345000120,VALDECILIA FONSECA DE JESUS RIBEIRO.,MARINGA,PR,044 32462590,BdGeral.Mdb:Geral,colunas_nomeadas
021351,01123705000169,LILY CONSTRUTORA E INCORPORADORA LTDA.,NOVA TRENTO,SC,,BdGeral.Mdb:Geral,colunas_nomeadas
021354,03331700000157,JUCILENE DA ROSA PEREIRA E CIA LTDA M.E.,ITAPEMA,SC,,BdGeral.Mdb:Geral,colunas_nomeadas
021355,04427531000116,ARGASUPER INDÚSTRIA E COMÉRCIO LTDA.,FLORIANOPOLIS,SC,048 32374244,BdGeral.Mdb:Geral,colunas_nomeadas
021358,81810863000126,ILZA PAULINA FOLSTER.,PALHOCA,SC,048 99832285,BdGeral.Mdb:Geral,colunas_nomeadas
021360,64132236000911,CIMENTO RIO BRANCO S/A.,LONDRINA,PR,,BdGeral.Mdb:Geral,colunas_nomeadas
021361,82428087000167,MATERIAIS DE CONSTRUÇÃO SARELU LTDA M.E.,MANDIRITUBA,PR,041 36261525,BdGeral.Mdb:Geral,colunas_nomeadas
021362,02088418000128,CONSTRUTORA LIMA SOARES LTDA.,REGISTRO,SP,013 68216373,BdGeral.Mdb:Geral,colunas_nomeadas
021363,04378635000188,JAILSON ACÁCIO DA SILVA.,NAVEGANTES,SC,047 33424382,BdGeral.Mdb:Geral,colunas_nomeadas
021364,79114450004403,COCAMAR COOPERATIVA AGROINDUSTRIAL.,TERRA BOA,PR,044 32213695,BdGeral.Mdb:Geral,colunas_nomeadas
021365,81054934000108,DENIG E SOUZA E CIA LTDA.,ASSIS CHATEAUBRIAND,PR,044 35281607,BdGeral.Mdb:Geral,colunas_nomeadas
021366,04522849000186,ACIR STOPA M.E.,MARINGA,PR,044 32535167,BdGeral.Mdb:Geral,colunas_nomeadas
021367,94360534000172,JOSÉ NONI COMERCIAL LTDA.,CANOAS,RS,051 34754300,BdGeral.Mdb:Geral,colunas_nomeadas
021368,00896767000140,ASPAR ASSESSORIA E PARTICIPAÇÕES LTDA.,BOMBINHAS,SC,,BdGeral.Mdb:Geral,colunas_nomeadas
021369,64132236000679,CIMENTO RIO BRANCO S/A.,GUARAPUAVA,PR,,BdGeral.Mdb:Geral,colunas_nomeadas
021370,01220666000118,SUPERMERCADO BICO DO PATO LTDA M.E.,CAJATI,SP,013 68541442,BdGeral.Mdb:Geral,colunas_nomeadas
021371,02983230001204,GLOBOAVES SÃO PAULO AGROAVÍCOLA LTDA.,SAO CARLOS,SP,016 32735800,BdGeral.Mdb:Geral,colunas_nomeadas
021372,78820461000106,J.T. MATERIAIS DE CONSTRUÇÃO LTDA.,BALNEARIO PICARRAS,SC,047 33454817,BdGeral.Mdb:Geral,colunas_nomeadas
021374,64132236005638,CIMENTO RIO BRANCO S/A.,BAURU,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021375,77997187000174,NÓRDICA VEÍCULOS S/A.,CURITIBA,PR,,BdGeral.Mdb:Geral,colunas_nomeadas
021376,04575383000187,DOLEY COMÉRCIO DE MATERIAIS P/ CONSTR. LTDA.,MARINGA,PR,044 32272127,BdGeral.Mdb:Geral,colunas_nomeadas
021377,04358830000146,GOL CONSTRUCENTER LTDA M.E.,FLORIANOPOLIS,SC,048 32260555,BdGeral.Mdb:Geral,colunas_nomeadas
021379,79497640000109,IRMÃOS ROSA COMÉRCIO DE MAT. DE CONSTR. LTDA.,PALHOCA,SC,048 32421401,BdGeral.Mdb:Geral,colunas_nomeadas
021380,04530185000105,A. SANCHES E FEITOSA LTDA.,MARINGA,PR,044 32291564,BdGeral.Mdb:Geral,colunas_nomeadas
021381,03710992000139,INDUSTRIA E COMÉRCIO DE LAJES FERNANDES LTDA.,MARINGA,PR,044 32637500,BdGeral.Mdb:Geral,colunas_nomeadas
021382,01768540000182,SOFI MATERIAIS DE CONSTRUÇÃO LTDA.,BARRACAO,RS,054 33521367,BdGeral.Mdb:Geral,colunas_nomeadas
021383,04579357000127,DAVANZO NETO E MORANDINI LTDA.,MANDAGUACU,PR,044 32451898,BdGeral.Mdb:Geral,colunas_nomeadas
021384,04523195000105,V. GASPARIN E CIA LTDA EPP.,MARINGA,PR,044 32685632,BdGeral.Mdb:Geral,colunas_nomeadas
021385,04604327000123,L.F. DE SOUZA MATERIAIS PARA CONSTRUÇÃO ME.,ITAMBE,PR,044 32311658,BdGeral.Mdb:Geral,colunas_nomeadas
021386,81303521000110,CONSTRUTORA SEGANFREDO LTDA.,QUILOMBO,SC,049 33463058,BdGeral.Mdb:Geral,colunas_nomeadas
021387,76282664000152,PREFEITURA MUNICIPAL DE PAIÇANDU.,PAICANDU,PR,044 32441414,BdGeral.Mdb:Geral,colunas_nomeadas
021388,02413647000170,GOMES MATERIAIS P/ CONSTRUÇÃO LTDA.,MONGAGUA,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021389,67386151000109,CLAVE MATERIAIS P/ CONSTRUÇÃO LTDA.,MONGAGUA,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021390,62721634000190,JOÃO BENEDITO SELYMES M.E.,ITANHAEM,SP,,BdGeral.Mdb:Geral,colunas_nomeadas
021391,45713161000160,MINERAÇÃO CHAPARRAL DOS 3 IRMÃOS LTDA.,APIAI,SP,015 35521218,BdGeral.Mdb:Geral,colunas_nomeadas
021394,02995562000148,SO CIMENTO LTDA.,SANTA CRUZ DO MONTE CASTELO,PR,044 34521368,BdGeral.Mdb:Geral,colunas_nomeadas
